experiment_id,network_type,num_nodes,num_demands,contention_level,gate_error_2q,seed,qaoa_objective,qaoa_utility,qaoa_penalty,qaoa_valid,qaoa_time,greedy_objective,greedy_utility,greedy_penalty,greedy_valid,greedy_time,independent_utility,qaoa_approximation_ratio,greedy_approximation_ratio,qaoa_advantage
34,barbell,8,4,0.25,0.01,34004,2.5443229662630564,2.5443229662630564,0.0,True,63.32010245323181,2.5443229662630564,2.5443229662630564,0.0,True,0.0005445480346679688,2.5443229662630564,1.0,1.0,0.0
35,barbell,8,4,0.25,0.01,35005,-77.70152512128844,2.298474878711554,80.0,False,92.82072901725769,-77.70152512128844,2.298474878711554,80.0,False,0.00041294097900390625,2.298474878711554,1.0,1.0,0.0
36,barbell,8,4,0.25,0.01,36006,-37.408685148322846,2.5913148516771516,40.0,False,48.52518963813782,-37.408685148322846,2.5913148516771516,40.0,False,0.0004413127899169922,2.5913148516771516,1.0,1.0,0.0
37,barbell,8,4,0.25,0.01,37007,3.1183381829626526,3.1183381829626526,0.0,True,43.09808802604675,3.1183381829626526,3.1183381829626526,0.0,True,0.0004093647003173828,3.1183381829626526,1.0,1.0,0.0
38,barbell,8,4,0.25,0.01,38008,-88.06708480514197,1.93291519485803,90.0,False,77.55883002281189,-88.06708480514197,1.93291519485803,90.0,False,0.0005936622619628906,1.93291519485803,1.0,1.0,0.0
39,barbell,8,4,0.25,0.01,39009,-28.221338865088196,1.7786611349118053,30.0,False,76.30288076400757,-28.221338865088196,1.7786611349118053,30.0,False,0.0007045269012451172,1.7786611349118053,1.0,1.0,0.0
40,barbell,10,3,0.15,0.001,40000,-38.776886378719,1.2231136212810036,40.0,False,93.96277523040771,-38.776886378719,1.2231136212810036,40.0,False,0.00041985511779785156,1.2231136212810036,1.0,1.0,0.0
41,barbell,10,3,0.15,0.001,41001,-48.51223734300339,1.48776265699661,50.0,False,61.767008781433105,-48.51223734300339,1.48776265699661,50.0,False,0.0004572868347167969,1.48776265699661,1.0,1.0,0.0
42,barbell,10,3,0.15,0.001,42002,-108.98859501737026,1.01140498262974,110.0,False,96.36337280273438,-108.98859501737026,1.01140498262974,110.0,False,0.0005540847778320312,1.0134939210284073,0.997938874269174,0.997938874269174,0.0
43,barbell,10,3,0.15,0.001,43003,-8.395805257052295,1.6041947429477048,10.0,False,61.161428928375244,-8.395805257052295,1.6041947429477048,10.0,False,0.0005557537078857422,1.6041947429477048,1.0,1.0,0.0
44,barbell,10,3,0.15,0.001,44004,-8.475686142456597,1.5243138575434023,10.0,False,49.735337257385254,-8.475686142456597,1.5243138575434023,10.0,False,0.0005409717559814453,1.5243138575434023,1.0,1.0,0.0
45,barbell,10,3,0.15,0.001,45005,1.9657044580797212,1.9657044580797212,0.0,True,61.11437010765076,1.9657044580797212,1.9657044580797212,0.0,True,0.00045490264892578125,1.9657044580797212,1.0,1.0,0.0
46,barbell,10,3,0.15,0.001,46006,2.4428585701986965,2.4428585701986965,0.0,True,27.972461700439453,2.4428585701986965,2.4428585701986965,0.0,True,0.0003178119659423828,2.4428585701986965,1.0,1.0,0.0
47,barbell,10,3,0.15,0.001,47007,-88.86435968842633,1.1356403115736708,90.0,False,94.58418273925781,-88.86435968842633,1.135640311573671,90.0,False,0.0006346702575683594,1.1356403115736708,1.0,1.0000000000000002,-1.9552370822178837e-16
48,barbell,10,3,0.15,0.001,48008,-28.76185543449551,1.238144565504492,30.0,False,91.26612710952759,-28.76185543449551,1.238144565504492,30.0,False,0.0004601478576660156,1.238144565504492,1.0,1.0,0.0
49,barbell,10,3,0.15,0.001,49009,-28.51447887019728,1.48552112980272,30.0,False,93.98405957221985,-28.517690097232613,1.4823099027673872,30.0,False,0.0005161762237548828,1.48552112980272,1.0,0.9978383161498623,0.0021663668503716094
50,barbell,10,3,0.15,0.01,50000,-18.446369794417873,1.553630205582126,20.0,False,57.58008170127869,-18.446369794417873,1.553630205582126,20.0,False,0.0005381107330322266,1.553630205582126,1.0,1.0,0.0
51,barbell,10,3,0.15,0.01,51001,2.047499160395577,2.047499160395577,0.0,True,88.45839166641235,2.047499160395577,2.047499160395577,0.0,True,0.0005354881286621094,2.047499160395577,1.0,1.0,0.0
52,barbell,10,3,0.15,0.01,52002,1.934948511858849,1.934948511858849,0.0,True,61.15114951133728,1.934948511858849,1.934948511858849,0.0,True,0.0006303787231445312,1.934948511858849,1.0,1.0,0.0
53,barbell,10,3,0.15,0.01,53003,-8.711592331939277,1.2884076680607222,10.0,False,92.00964736938477,-8.711592331939277,1.2884076680607222,10.0,False,0.0006952285766601562,1.2884076680607222,1.0,1.0,0.0
54,barbell,10,3,0.15,0.01,54004,-8.333377053519813,1.6666229464801874,10.0,False,60.79210829734802,-8.333377053519813,1.6666229464801872,10.0,False,0.00045800209045410156,1.6666229464801874,1.0,0.9999999999999999,1.3323025786604995e-16
55,barbell,10,3,0.15,0.01,55005,-38.541917096899766,1.4580829031002316,40.0,False,90.19821357727051,-38.541917096899766,1.4580829031002316,40.0,False,0.0005192756652832031,1.4580829031002316,1.0,1.0,0.0
56,barbell,10,3,0.15,0.01,56006,1.7524293755352325,1.7524293755352325,0.0,True,92.00847601890564,1.7524293755352325,1.7524293755352325,0.0,True,0.0006575584411621094,1.7524293755352325,1.0,1.0,0.0
57,barbell,10,3,0.15,0.01,57007,-38.59122599512766,1.4087740048723438,40.0,False,94.15571594238281,-38.59122599512766,1.4087740048723438,40.0,False,0.0007848739624023438,1.4087740048723438,1.0,1.0,0.0
58,barbell,10,3,0.15,0.01,58008,1.8699319088238862,1.8699319088238862,0.0,True,63.311736822128296,1.8699319088238862,1.8699319088238862,0.0,True,0.0005533695220947266,1.8699319088238862,1.0,1.0,0.0
59,barbell,10,3,0.15,0.01,59009,1.7473499036136426,1.7473499036136426,0.0,True,61.833361864089966,1.7473499036136426,1.7473499036136426,0.0,True,0.0005183219909667969,1.7473499036136426,1.0,1.0,0.0
60,barbell,10,4,0.2,0.001,60000,-128.45141299750918,1.548587002490828,130.0,False,162.35712504386902,-128.45141299750918,1.548587002490828,130.0,False,0.0005016326904296875,1.548587002490828,1.0,1.0,0.0
61,barbell,10,4,0.2,0.001,61001,-148.50117747989754,1.4988225201024763,150.0,False,162.2089078426361,-148.50117747989754,1.4988225201024763,150.0,False,0.0005929470062255859,1.4988225201024763,1.0,1.0,0.0
62,barbell,10,4,0.2,0.001,62002,-27.740788802736848,2.259211197263153,30.0,False,130.3233609199524,-27.740788802736848,2.259211197263153,30.0,False,0.0005652904510498047,2.259211197263153,1.0,1.0,0.0
63,barbell,10,4,0.2,0.001,63003,-18.141990255248388,1.8580097447516108,20.0,False,162.61019492149353,-18.141990255248388,1.8580097447516108,20.0,False,0.0005991458892822266,1.8694943426851545,0.9938568426385028,0.9938568426385028,0.0
64,barbell,10,4,0.2,0.001,64004,-57.830746283424645,2.169253716575352,60.0,False,100.86236071586609,-57.830746283424645,2.169253716575352,60.0,False,0.0004150867462158203,2.169253716575352,1.0,1.0,0.0
65,barbell,10,4,0.2,0.001,65005,-17.759222794384925,2.2407772056150743,20.0,False,146.12596154212952,-17.759222794384925,2.2407772056150743,20.0,False,0.0008308887481689453,2.2407772056150743,1.0,1.0,0.0
66,barbell,10,4,0.2,0.001,66006,2.671077444781739,2.671077444781739,0.0,True,82.37559032440186,2.671077444781739,2.671077444781739,0.0,True,0.0006628036499023438,2.671077444781739,1.0,1.0,0.0
67,barbell,10,4,0.2,0.001,67007,-128.4807296064285,1.51927039357151,130.0,False,118.49842166900635,-128.4807296064285,1.51927039357151,130.0,False,0.0007014274597167969,1.51927039357151,1.0,1.0,0.0
68,barbell,10,4,0.2,0.001,68008,-27.532546014291697,2.467453985708305,30.0,False,66.65424084663391,-27.532546014291697,2.467453985708305,30.0,False,0.0004227161407470703,2.467453985708305,1.0,1.0,0.0
69,barbell,10,4,0.2,0.001,69009,2.46682363246016,2.46682363246016,0.0,True,90.24489164352417,2.4668236324601605,2.4668236324601605,0.0,True,0.0006685256958007812,2.46682363246016,1.0,1.0000000000000002,-1.8002471032238852e-16
70,barbell,10,4,0.2,0.01,70000,-37.70141217281227,2.298587827187734,40.0,False,157.11758971214294,-37.70141217281227,2.298587827187734,40.0,False,0.0005290508270263672,2.298587827187734,1.0,1.0,0.0
71,barbell,10,4,0.2,0.01,71001,-17.305659167102668,2.6943408328973315,20.0,False,67.07765793800354,-17.305659167102668,2.694340832897332,20.0,False,0.00032901763916015625,2.6943408328973315,1.0,1.0000000000000002,-1.6482295202887e-16
